Compound;FC ([BlancoSurrogados] vs [Control]);Log FC ([BlancoSurrogados] vs [Control]);FC (abs) ([BlancoSurrogados] vs [Control]);Regulation ([BlancoSurrogados] vs [Control]);FC ([ControlSurrogados] vs [Control]);Log FC ([ControlSurrogados] vs [Control]);FC (abs) ([ControlSurrogados] vs [Control]);Regulation ([ControlSurrogados] vs [Control]);FC ([Disolventes] vs [Control]);Log FC ([Disolventes] vs [Control]);FC (abs) ([Disolventes] vs [Control]);Regulation ([Disolventes] vs [Control]);FC ([Docusato] vs [Control]);Log FC ([Docusato] vs [Control]);FC (abs) ([Docusato] vs [Control]);Regulation ([Docusato] vs [Control]);FC ([QC] vs [Control]);Log FC ([QC] vs [Control]);FC (abs) ([QC] vs [Control]);Regulation ([QC] vs [Control]);FC ([Tetra+Docu] vs [Control]);Log FC ([Tetra+Docu] vs [Control]);FC (abs) ([Tetra+Docu] vs [Control]);Regulation ([Tetra+Docu] vs [Control]);FC ([Tetraconazol] vs [Control]);Log FC ([Tetraconazol] vs [Control]);FC (abs) ([Tetraconazol] vs [Control]);Regulation ([Tetraconazol] vs [Control]);BLANCOSURRO1_1: Log2(normalized);BLANCOSURRO1_1_neg: Log2(normalized);BLANCOSURRO1_2: Log2(normalized);BLANCOSURRO1_2_neg: Log2(normalized);BLANCOSURRO1_3: Log2(normalized);BLANCOSURRO1_3_neg: Log2(normalized);BLANCOSURRO2_1: Log2(normalized);BLANCOSURRO2_1_neg: Log2(normalized);BLANCOSURRO2_2: Log2(normalized);BLANCOSURRO2_2_neg: Log2(normalized);BLANCOSURRO2_3: Log2(normalized);BLANCOSURRO2_3_neg: Log2(normalized);BLANCOSURRO3_1: Log2(normalized);BLANCOSURRO3_1_neg: Log2(normalized);BLANCOSURRO3_2: Log2(normalized);BLANCOSURRO3_2_neg: Log2(normalized);C54_1_1: Log2(normalized);C54_1_1_neg: Log2(normalized);C54_1_2: Log2(normalized);C54_1_2_neg: Log2(normalized);C54_2_1: Log2(normalized);C54_2_1_neg: Log2(normalized);C54_2_2: Log2(normalized);C54_2_2_neg: Log2(normalized);ControlSurro_1: Log2(normalized);ControlSurro_1_neg: Log2(normalized);ControlSurro_2: Log2(normalized);ControlSurro_2_neg: Log2(normalized);ControlSurro_3: Log2(normalized);ControlSurro_3_neg: Log2(normalized);ControlSurro_4: Log2(normalized);ControlSurro_4_neg: Log2(normalized);ControlSurro_5: Log2(normalized);ControlSurro_5_neg: Log2(normalized);ControlSurro_7: Log2(normalized);ControlSurro_7_neg: Log2(normalized);ControlSurro_8: Log2(normalized);ControlSurro_8_neg: Log2(normalized);ControlSurro_9: Log2(normalized);ControlSurro_9_neg: Log2(normalized);ControlSurro_10: Log2(normalized);ControlSurro_10_neg: Log2(normalized);Disolv_1: Log2(normalized);Disolv_1_neg: Log2(normalized);Disolv_2: Log2(normalized);Disolv_2_neg: Log2(normalized);Disolv_3: Log2(normalized);Disolv_3_neg: Log2(normalized);Disolv_4: Log2(normalized);Disolv_4_neg: Log2(normalized);Disolv_5: Log2(normalized);Disolv_5_neg: Log2(normalized);Disolv_7: Log2(normalized);Disolv_7_neg: Log2(normalized);Disolv_8: Log2(normalized);Disolv_8_neg: Log2(normalized);Disolv_9: Log2(normalized);Disolv_9_neg: Log2(normalized);Disolv_10: Log2(normalized);Disolv_10_neg: Log2(normalized);D54_1_1: Log2(normalized);D54_1_1_neg: Log2(normalized);D54_1_2: Log2(normalized);D54_1_2_neg: Log2(normalized);D54_2_1: Log2(normalized);D54_2_1_neg: Log2(normalized);D54_2_2: Log2(normalized);D54_2_2_neg: Log2(normalized);D54_3_1: Log2(normalized);D54_3_1_neg: Log2(normalized);D54_3_2: Log2(normalized);D54_3_2_neg: Log2(normalized);QCTODOS1_1: Log2(normalized);QCTODOS1_1_neg: Log2(normalized);QCTODOS1_2: Log2(normalized);QCTODOS1_2_neg: Log2(normalized);QCTODOS1_3: Log2(normalized);QCTODOS1_3_neg: Log2(normalized);QCTODOS2_1: Log2(normalized);QCTODOS2_1_neg: Log2(normalized);QCTODOS2_2: Log2(normalized);QCTODOS2_2_neg: Log2(normalized);QCTODOS2_3: Log2(normalized);QCTODOS2_3_neg: Log2(normalized);QCTODOS3_1: Log2(normalized);QCTODOS3_1_neg: Log2(normalized);QCTODOS3_2: Log2(normalized);QCTODOS3_2_neg: Log2(normalized);TD54_1_1: Log2(normalized);TD54_1_1_neg: Log2(normalized);TD54_1_2: Log2(normalized);TD54_1_2_neg: Log2(normalized);TD54_2_1: Log2(normalized);TD54_2_1_neg: Log2(normalized);TD54_2_2: Log2(normalized);TD54_2_2_neg: Log2(normalized);T54_1_1: Log2(normalized);T54_1_1_neg: Log2(normalized);T54_1_2: Log2(normalized);T54_1_2_neg: Log2(normalized);T54_2_1: Log2(normalized);T54_2_1_neg: Log2(normalized);T54_2_2: Log2(normalized);T54_2_2_neg: Log2(normalized);T54_3_1: Log2(normalized);T54_3_1_neg: Log2(normalized);T54_3_2: Log2(normalized);T54_3_2_neg: Log2(normalized);CAS Number;ChEBI ID;Compound Name;KEGG ID;Mass;Retention Time;HMP ID;Formula;Frequency;Ionization mode;LMP ID
C22 H30 N2 O S;-1;0;1;down;-1;0;1;down;-1;0;1;down;4,291038;2,1013267;4,291038;up;82,37283;6,3640966;82,37283;up;8,828767;3,142212;8,828767;up;-1;0;1;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,471929;0;12,743993;0;0;0;0;0;0;0;0;0;12,350387;0;12,574357;0;12,833088;0;12,675957;0;13,013148;0;12,763628;0;12,785453;0;12,829525;0;0;0;0;0;12,477252;0;12,660442;0;0;0;0;0;0;0;0;0;0;0;0;0;;;C22 H30 N2 O S;;370,2157;8,326999;;C22 H30 N2 O S;12;Esi+;
C12 H29 N4 Esi+14.345999;1,9488227;0,9626029;1,9488227;up;-1;0;1;down;-1;0;1;down;-1;0;1;down;149,3755;7,2228;149,3755;up;-1;0;1;down;2,135265;1,0944152;2,135265;up;15,401647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,532477;0;14,397006;0;14,372593;0;14,952605;0;14,766994;0;14,697837;0;14,001848;0;13,84343;0;0;0;0;0;0;0;0;0;0;0;13,132982;0;0;0;0;0;0;0;0;0;;;C12 H29 N4 Esi+14.345999;;229,2368;14,345999;;C12 H29 N4;10;Esi+;
C13 H31 N4 Esi+13.997999;-1;0;1;down;-1;0;1;down;-1;0;1;down;4,2423844;2,0848753;4,2423844;up;178,16731;7,477089;178,16731;up;-1;0;1;down;-1;0;1;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,438012;0;12,580494;0;0;0;0;0;15,546955;0;14,57418;0;14,506617;0;15,289875;0;15,095891;0;14,576366;0;15,158452;0;14,8850765;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;C13 H31 N4 Esi+13.997999;;243,2552;13,997999;;C13 H31 N4;10;Esi+;
C14 H25 N11 O7;-310,75247;-8,279622;310,75247;down;-310,75247;-8,279622;310,75247;down;-310,75247;-8,279622;310,75247;down;-1,036212;-0,051319122;1,036212;down;-1,098875;-0,13602734;1,098875;down;-1,023492;-0,033499718;1,023492;down;-1,0230995;-0,032946587;1,0230995;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,569662;0;16,386183;0;16,780104;0;16,501028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,461367;0;16,149052;0;16,608023;0;16,39627;0;16,723955;0;16,400963;0;16,344799;0;16,184004;0;16,162785;0;16,467478;0;16,21029;0;16,13669;0;16,557224;0;16,234255;0;16,68613;0;16,40381;0;16,566723;0;16,312317;0;16,732725;0;16,322369;0;16,657024;0;16,278648;0;16,621723;0;16,34762;0;;;C14 H25 N11 O7;;459,191;1,3779999;;C14 H25 N11 O7;28;Esi+;
C26 H55 N23 O2;-1;0;1;down;-1;0;1;down;-1;0;1;down;-1;0;1;down;129,89041;7,021151;129,89041;up;-1;0;1;down;-1;0;1;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,261435;0;13,821774;0;13,487338;0;14,626678;0;14,044138;0;14,011227;0;14,275252;0;13,810572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;C26 H55 N23 O2;;721,4905;17,289;;C26 H55 N23 O2;8;Esi+;
C16 H20 N9 O4;-15,262227;-3,9318936;15,262227;down;-169,13136;-7,4020004;169,13136;down;-169,13136;-7,4020004;169,13136;down;-1,2878388;-0,3649521;1,2878388;down;1,0269434;0,03835678;1,0269434;up;-1,2600882;-0,3335247;1,2600882;down;-1,1197021;-0,16311502;1,1197021;down;13,104435;0;13,891309;0;13,97871;0;14,5472555;0;0;0;0;0;0;0;0;0;14,976564;0;14,991877;0;14,655867;0;14,591698;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,682336;0;13,612523;0;14,623767;0;14,533269;0;14,035401;0;13,957284;0;14,756765;0;14,635491;0;14,936224;0;14,992274;0;14,917745;0;15,12747;0;14,819481;0;14,860263;0;14,172739;0;13,940681;0;14,023667;0;14,410717;0;14,289659;0;14,342282;0;14,440221;0;14,494606;0;14,678379;0;14,621479;0;;;C16 H20 N9 O4;;402,1605;13,377998;;C16 H20 N9 O4;32;Esi+;
C14 H26 N6 O13;-143,43149;-7,164218;143,43149;down;-143,43149;-7,164218;143,43149;down;-143,43149;-7,164218;143,43149;down;1,0318923;0,045292377;1,0318923;up;-1,0626209;-0,087626934;1,0626209;down;1,0239748;0,034180164;1,0239748;up;1,0260146;0,0370512;1,0260146;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,193217;0;14,420881;0;14,300567;0;14,399078;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,45179;0;14,371505;0;14,390102;0;14,4618;0;14,385391;0;14,453527;0;13,706172;0;14,242504;0;14,204572;0;14,27066;0;14,188511;0;14,131536;0;14,283667;0;14,197831;0;14,498787;0;14,431171;0;14,354732;0;14,302495;0;14,393993;0;14,376124;0;14,269784;0;14,38869;0;14,507299;0;14,479338;0;;;C14 H26 N6 O13;;486,1563;1,2770003;;C14 H26 N6 O13;28;Esi+;
C7 H15 N2 O3;-77,04552;-6,267639;77,04552;down;-77,04552;-6,267639;77,04552;down;-77,04552;-6,267639;77,04552;down;2,039239;1,0280309;2,039239;up;6,7202554;2,748516;6,7202554;up;1,060861;0,085235596;1,060861;up;-1,2430787;-0,31391764;1,2430787;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,658016;0;17,243238;0;16,239859;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,985296;0;18,213337;0;0;0;15,647403;0;17,724009;0;16,977995;0;18,834414;0;17,913988;0;17,69947;0;18,427185;0;17,787813;0;17,648119;0;18,138475;0;17,809021;0;16,271116;0;15,721366;0;18,830519;0;0;0;18,202457;0;0;0;0;0;17,04722;0;18,421152;0;17,773829;0;;;C7 H15 N2 O3;;175,108;1,2560004;;C7 H15 N2 O3;23;Esi+;
C12 H21 N11 O7;-139,64397;-7,1256094;139,64397;down;-139,64397;-7,1256094;139,64397;down;-139,64397;-7,1256094;139,64397;down;-1,1031297;-0,14160252;1,1031297;down;-1,0496273;-0,06987715;1,0496273;down;-1,107978;-0,14792919;1,107978;down;-1,1084831;-0,14858675;1,1084831;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,248076;0;14,133383;0;14,425741;0;14,197677;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,649706;0;13,354662;0;14,557763;0;14,312883;0;14,063479;0;13,869593;0;14,0991;0;14,113336;0;14,00422;0;14,296629;0;14,074393;0;13,946267;0;14,268323;0;14,08945;0;14,585315;0;14,325024;0;13,568194;0;13,342908;0;14,003869;0;13,907079;0;14,174926;0;14,06609;0;13,853992;0;13,718319;0;;;C12 H21 N11 O7;;431,1643;1,25;;C12 H21 N11 O7;28;Esi+;
C14 H27 N4 O4;-15,367587;-3,9418187;15,367587;down;-170,44672;-7,413177;170,44672;down;-170,44672;-7,413177;170,44672;down;-1,2254229;-0,29327965;1,2254229;down;1,154823;0,20767164;1,154823;up;-1,2594615;-0,33280706;1,2594615;down;-1,0424061;-0,05991745;1,0424061;down;13,50866;0;13,542548;0;13,687048;0;14,803475;0;0;0;0;0;0;0;0;0;15,183597;0;14,929489;0;14,648695;0;14,543635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,398209;0;14,187584;0;14,6807995;0;14,4029455;0;13,910081;0;13,859146;0;15,282183;0;15,057696;0;15,193949;0;15,3498;0;15,101441;0;15,310862;0;15,376769;0;15,260883;0;14,36557;0;14,269491;0;13,946358;0;14,06154;0;14,837283;0;14,760876;0;14,470595;0;14,498662;0;14,900207;0;14,771489;0;;;C14 H27 N4 O4;;315,2036;7,925998;;C14 H27 N4 O4;32;Esi+;
C16 H33 N O2;1,3733702;0,45772052;1,3733702;up;-1,0872747;-0,12071651;1,0872747;down;-1,2337388;-0,30303693;1,2337388;down;1,5452181;0,6278105;1,5452181;up;90,86378;6,5056334;90,86378;up;-1,0113326;-0,016257644;1,0113326;down;4,53745;2,1818817;4,53745;up;0;0;0;0;0;0;0;0;8,144658;0;8,682995;0;7,8265486;0;0;0;0;0;8,665337;0;0;0;0;0;0;0;0;0;0;0;0;0;8,727921;0;0;0;0;0;8,5961895;0;0;0;0;0;0;0;7,2094536;0;6,83289;0;0;0;0;0;0;0;0;0;0;0;7,9188633;0;5,8579807;0;6,7548876;0;0;0;0;0;0;0;15,177302;0;15,156517;0;15,018201;0;15,283668;0;15,3758545;0;15,110849;0;15,219811;0;15,078609;0;0;0;8,535275;0;0;0;0;0;8,744834;0;6,84549;0;8,098032;0;0;0;8,383704;0;7,1085243;0;;;C16 H33 N O2;;271,2516;13,816001;;C16 H33 N O2;25;Esi+;
C12 H29 N4 O;-1;0;1;down;-1;0;1;down;-1;0;1;down;-1;0;1;down;118,277016;6,886026;118,277016;up;-1;0;1;down;-1;0;1;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,876229;0;13,697077;0;13,69751;0;13,887031;0;13,726431;0;13,54279;0;14,041232;0;13,708114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;C12 H29 N4 O;;245,2352;12,066001;;C12 H29 N4 O;8;Esi+;
C14 H17 N15 O5;-129,34201;-7,015047;129,34201;down;-129,34201;-7,015047;129,34201;down;-129,34201;-7,015047;129,34201;down;-1,0359247;-0,050919056;1,0359247;down;1,0171939;0,024594784;1,0171939;up;-1,1186616;-0,16177368;1,1186616;down;-1,0922908;-0,127357;1,0922908;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,991876;0;13,862637;0;14,268688;0;13,997179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,843823;0;13,400479;0;14,180841;0;14,105253;0;14,173208;0;13,865927;0;14,139152;0;14,03626;0;13,915226;0;14,272411;0;14,106317;0;13,9334135;0;14,253405;0;13,9780855;0;14,031012;0;13,84117;0;13,635605;0;13,318401;0;13,826649;0;13,511134;0;13,718319;0;13,524053;0;14,230471;0;13,841663;0;;;C14 H17 N15 O5;;475,1555;1,243;;C14 H17 N15 O5;28;Esi+;
C20 H38 N6 O19;-202,88365;-7,664509;202,88365;down;-202,88365;-7,664509;202,88365;down;-202,88365;-7,664509;202,88365;down;-1,007454;-0,010714054;1,007454;down;-1,1528844;-0,20524788;1,1528844;down;1,0112545;0,016146183;1,0112545;up;-1,0160192;-0,022927761;1,0160192;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,260883;0;15,374191;0;15,326816;0;15,35418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,20243;0;14,991078;0;15,468528;0;15,407898;0;15,459175;0;15,316422;0;14,602293;0;14,892305;0;14,956921;0;15,169847;0;14,923188;0;14,898885;0;14,975893;0;14,928843;0;15,566916;0;15,406803;0;15,344089;0;15,12743;0;15,308304;0;15,219774;0;15,287532;0;15,254143;0;15,357071;0;15,272156;0;;;C20 H38 N6 O19;;666,221;1,278;;C20 H38 N6 O19;28;Esi+;
C26 H57 N26 O2;-1;0;1;down;-1;0;1;down;-1;0;1;down;-1;0;1;down;95,805145;6,5820312;95,805145;up;-1;0;1;down;-1;0;1;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,511011;0;12,672205;0;12,613329;0;13,620106;0;13,397541;0;13,248372;0;13,386132;0;12,863799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;C26 H57 N26 O2;;765,5153;17,298002;;C26 H57 N26 O2;8;Esi+;
C13 H33 N7;-1;0;1;down;-1;0;1;down;1,7089862;0,77314067;1,7089862;up;-1;0;1;down;157,12685;7,295786;157,12685;up;-1;0;1;down;-1;0;1;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,916532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,263159;0;14,170473;0;14,120967;0;14,141548;0;14,680305;0;13,733651;0;15,529186;0;15,093294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;C13 H33 N7;;287,2788;13,745001;;C13 H33 N7;9;Esi+;
C26 H49 N14 O2;-1;0;1;down;-1;0;1;down;-1;0;1;down;-1;0;1;down;232,07649;7,8584566;232,07649;up;-1;0;1;down;-1;0;1;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,885791;0;15,484098;0;15,427313;0;16,018526;0;15,645715;0;15,556236;0;16,03211;0;15,685515;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;C26 H49 N14 O2;;589,4149;17,22;;C26 H49 N14 O2;8;Esi+;
C11 H21 N4 O;-2,7932358;-1,4819374;2,7932358;down;-35,81845;-5,162631;35,81845;down;-35,81845;-5,162631;35,81845;down;-17,40657;-4,12156;17,40657;down;4,9760714;2,3150072;4,9760714;up;2,6039135;1,3806815;2,6039135;up;1,4435056;0,5295768;1,4435056;up;14,523072;0;14,785605;0;14,788667;0;14,7937565;0;0;0;0;0;0;0;0;0;14,260845;0;14,406072;0;12,6341305;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,492854;0;0;0;0;0;15,1023855;0;15,193448;0;15,28135;0;14,859147;0;14,879009;0;15,049083;0;14,621423;0;14,656368;0;13,309193;0;13,615055;0;12,505812;0;12,916439;0;13,565341;0;13,805341;0;13,700981;0;14,082232;0;13,152601;0;0;0;;;C11 H21 N4 O;;225,1715;12,3;;C11 H21 N4 O;25;Esi+;
C14 H19 N15 O4;-130,45148;-7,0273695;130,45148;down;-130,45148;-7,0273695;130,45148;down;-130,45148;-7,0273695;130,45148;down;-1,0971522;-0,13376379;1,0971522;down;-1,0649066;-0,09072685;1,0649066;down;-1,0773872;-0,10753679;1,0773872;down;-1,0429444;-0,06066227;1,0429444;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,079818;0;13,971634;0;14,242877;0;13,924627;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,504446;0;13,292321;0;14,048487;0;13,893207;0;14,110402;0;13,874405;0;14,066593;0;13,93369;0;13,6976185;0;14,121371;0;13,79472;0;13,768805;0;13,826649;0;13,776844;0;14,194835;0;14,085141;0;13,806348;0;13,272339;0;14,090361;0;13,798066;0;14,162313;0;14,049338;0;13,825555;0;13,674853;0;;;C14 H19 N15 O4;;461,1748;1,2509998;;C14 H19 N15 O4;28;Esi+;
> limit Esi+1.2539998;-1;0;1;down;-1;0;1;down;-1;0;1;down;-1;0;1;down;86,08572;6,427702;86,08572;up;-1;0;1;down;-1;0;1;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,546171;0;12,900867;0;12,8655405;0;12,945078;0;12,961992;0;12,564864;0;13,262682;0;12,796039;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;> limit Esi+1.2539998;;1884,6726;1,2539998;;> limit;8;Esi+;
C22 H26 N4 O21;-171,88828;-7,4253273;171,88828;down;-171,88828;-7,4253273;171,88828;down;-171,88828;-7,4253273;171,88828;down;-1,2169114;-0,2832241;1,2169114;down;-1,1571723;-0,21060371;1,1571723;down;-1,1887702;-0,24946976;1,1887702;down;-1,2337227;-0,3030181;1,2337227;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,787495;0;14,386064;0;15,328149;0;14,900914;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,334483;0;13,749869;0;14,572345;0;14,098937;0;14,7937565;0;14,155847;0;14,991788;0;13,719817;0;14,098197;0;14,929906;0;14,467223;0;14,014893;0;14,801709;0;14,41204;0;14,812377;0;14,350387;0;14,449986;0;13,79411;0;14,649929;0;14,046186;0;14,375854;0;14,135068;0;14,355006;0;13,905669;0;;;C22 H26 N4 O21;;682,1086;1,3619996;;C22 H26 N4 O21;28;Esi+;
C15 H26 N10 O11;-114,13448;-6,834591;114,13448;down;-114,13448;-6,834591;114,13448;down;-114,13448;-6,834591;114,13448;down;-1,0157453;-0,022538662;1,0157453;down;-2,0187972;-1,0134959;2,0187972;down;-3,3325832;-1,7366409;3,3325832;down;-1,0333408;-0,047316074;1,0333408;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,614134;0;13,744623;0;13,645658;0;13,672316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,619991;0;13,451856;0;13,71532;0;13,558899;0;13,69207;0;13,706496;0;13,017157;0;13,333295;0;13,214471;0;13,482933;0;13,348452;0;0;0;13,330358;0;13,41085;0;0;0;13,657653;0;13,584728;0;13,541218;0;13,565341;0;13,30905;0;13,607793;0;13,531991;0;13,7844305;0;13,648694;0;;;C15 H26 N10 O11;;522,1801;1,278;;C15 H26 N10 O11;26;Esi+;
C18 H37 N4 O4;-1;0;1;down;-1;0;1;down;-1;0;1;down;-1;0;1;down;89,975266;6,4914565;89,975266;up;-1;0;1;down;-1;0;1;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,310044;0;12,809365;0;12,7934;0;13,376262;0;12,964341;0;12,860893;0;12,878434;0;12,870557;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;C18 H37 N4 O4;;373,2804;13,791;;C18 H37 N4 O4;8;Esi+;
L-Malic acid;-1285,9995;-10,328674;1285,9995;down;-1285,9995;-10,328674;1285,9995;down;-1285,9995;-10,328674;1285,9995;down;1,1696749;0,2261076;1,1696749;up;1,3999445;0,48536968;1,3999445;up;1,0594916;0,083372116;1,0594916;up;1,1294796;0,17565823;1,1294796;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,8953;0;20,478397;0;20,827196;0;20,428509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22,320276;0;21,859129;0;20,52782;0;20,089048;0;21,157272;0;20,703833;0;21,962072;0;21,662458;0;21,359243;0;21,95185;0;21,563194;0;21,261654;0;21,817871;0;21,446371;0;20,186682;0;19,748404;0;21,911438;0;21,44985;0;21,463047;0;21,016657;0;20,85617;0;20,404043;0;21,372051;0;20,940027;;;L-Malic acid;C00149;134,0216;1,3479997;HMDB00156;C4 H6 O5;28;Esi-;
Phosphoric acid;-416,2797;-8,701409;416,2797;down;-416,2797;-8,701409;416,2797;down;-416,2797;-8,701409;416,2797;down;-1,0872004;-0,12061787;1,0872004;down;1,0088066;0,012649536;1,0088066;up;1,02705;0,038506508;1,02705;up;-1,0169227;-0,024209976;1,0169227;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,557068;0;17,125282;0;17,637121;0;17,2918;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,16582;0;16,83462;0;17,558376;0;17,214527;0;17,328228;0;16,867918;0;17,662592;0;17,484941;0;17,288317;0;17,696486;0;17,33931;0;17,191195;0;17,548912;0;17,213188;0;17,704119;0;17,310072;0;17,618824;0;17,286314;0;17,43923;0;16,993048;0;17,696905;0;17,319574;0;17,534887;0;17,142744;;;Phosphoric acid;C00009;97,9768;1,2229997;HMDB02142;H3 O4 P;28;Esi-;
